experiment,beta1,beta2,ema_window,omega1_mean,omega1_std,omega2_mean,omega2_std
resnet18_cifar100,0.999,0.99,200,0.1650343481945813,6.96803264366647e-05,0.0018389100768145862,7.0368748704766e-07
resnet18_cifar100,0.999,0.9968,200,0.004974520877913898,5.7197650547653414e-05,0.0001321199161739401,2.886146992584417e-07
resnet18_cifar100,0.999,0.999,200,0.002202088817247653,2.84736500482849e-05,0.00012783714541397673,3.478136981455408e-07
resnet18_cifar100,0.9,0.9,500,0.051549299664431114,4.35745250530403e-05,0.058795946139357846,8.231445635503048e-05
resnet18_cifar100,0.9,0.968,500,0.03839104261198442,0.0006586385335363072,0.015307278197690061,0.00016960917290863235
resnet18_cifar100,0.9,0.99,500,0.044907587134077144,0.00023780597698842493,0.011814832287324226,9.989183993635367e-05
resnet18_cifar100,0.9,0.9968,500,0.06504543199653319,0.0011337765777754039,0.012265099441375405,0.0002646140319072541
resnet18_cifar100,0.9,0.999,500,0.07439578865065347,0.002380309375570909,0.011278984134995442,0.0008006145145814178
resnet18_cifar100,0.968,0.9,500,0.013956539945541661,2.0408221318513184e-05,0.012141581067747707,6.668949572894835e-05
resnet18_cifar100,0.968,0.968,500,0.011690396842518139,8.493230252147633e-05,0.006728041753365235,2.1939203554040378e-05
resnet18_cifar100,0.968,0.99,500,0.01949835778336068,7.19053348765992e-05,0.00550267487030356,8.978326186356652e-06
resnet18_cifar100,0.968,0.9968,500,0.023007985049735006,0.00023336958857392108,0.0038540706253419143,3.5526160265152134e-05
resnet18_cifar100,0.968,0.999,500,0.028793681865104292,0.00033020383220798617,0.003809092721543982,3.524701801260079e-05
resnet18_cifar100,0.99,0.9,500,0.25200747718432787,9.725498958963218e-05,0.04086576502172047,1.9043024937370125e-05
resnet18_cifar100,0.99,0.968,500,0.006927127524344159,8.319952820816352e-05,0.0010915892531632495,2.8600970971146293e-06
resnet18_cifar100,0.99,0.99,500,0.004465733257742092,4.063802929950278e-05,0.0009077612695819797,1.3109378067530349e-05
resnet18_cifar100,0.99,0.9968,500,0.007166588791617899,0.00010992369137856095,0.0009251010838933234,9.7730354091626e-06
resnet18_cifar100,0.99,0.999,500,0.008193408351352443,0.00025026147077680664,0.0009041559497910078,1.3213535696354745e-05
resnet18_cifar100,0.9968,0.9,500,0.6692872344712918,0.0002916878111414223,0.039056519841319366,1.3082181811244219e-05
resnet18_cifar100,0.9968,0.968,500,0.1554555312552921,0.00011098265767457813,0.007080193002325483,7.583709154181427e-06
resnet18_cifar100,0.9968,0.99,500,0.0045220622241939875,3.3618057780146365e-05,0.000123650584915534,1.1239488215378582e-06
resnet18_cifar100,0.9968,0.9968,500,0.002061260798153896,5.468840348384604e-05,0.00017858889895852741,5.79001075315796e-07
resnet18_cifar100,0.9968,0.999,500,0.0027802615166145988,4.290949123537612e-05,0.0002164917611899422,2.929622734921339e-06
resnet18_cifar100,0.999,0.9,500,0.37334935855182566,0.0008759064462496632,0.014730866925606267,1.4835045074113676e-05
resnet18_cifar100,0.999,0.968,500,0.2709684746461219,0.00026178324012650567,0.0065302898736681915,5.631018824832991e-06
resnet18_cifar100,0.999,0.99,500,0.09558994241945436,5.2824339653980195e-05,0.0009096246630426235,3.5448567957079527e-07
resnet18_cifar100,0.999,0.9968,500,0.003870832463470414,5.783538880958343e-05,5.63625047416237e-05,1.2268735360751157e-07
resnet18_cifar100,0.999,0.999,500,0.0014970140049093037,3.163955770123147e-05,5.202958867625068e-05,1.2999630141324035e-07
