experiment,source_file,metric,ema_window,n_beta1,n_beta2,n_seeds,diag_mean,diag_std,offdiag_mean,offdiag_std,diag_over_off,n_success,n_trials,rate,p0,p_value
T5_SQuAD,T5_SQuAD.pkl,omega1_updates_norm,10,3,3,3,2.458901958083026,3.2139562012766225,5.076920904493229,4.872200839511453,0.4843293808077299,6,9,0.6666666666666666,0.3333333333333333,0.04242239496011786
T5_SQuAD,T5_SQuAD.pkl,omega2_updates_norm,10,3,3,3,2.9957454951877844,4.0841160932650835,1.5177583583637282,1.2605016576138954,1.973796078064397,6,9,0.6666666666666666,0.3333333333333333,0.04242239496011786
T5_SQuAD,T5_SQuAD.pkl,omega1_updates_norm,100,3,3,3,0.2887406342640847,0.3397456537497082,1.468899392204794,1.0206223495550821,0.19656937418340797,6,9,0.6666666666666666,0.3333333333333333,0.04242239496011786
T5_SQuAD,T5_SQuAD.pkl,omega2_updates_norm,100,3,3,3,0.3020199916013295,0.4113554795497013,0.19106936719597395,0.14308434902464953,1.5806824298086302,6,9,0.6666666666666666,0.3333333333333333,0.04242239496011786
T5_SQuAD,T5_SQuAD.pkl,omega1_updates_norm,200,3,3,3,0.15446681060594558,0.16972268784946742,0.8534784452068767,0.5746324244605874,0.18098501663800542,7,9,0.7777777777777778,0.3333333333333333,0.00828125793832241
T5_SQuAD,T5_SQuAD.pkl,omega2_updates_norm,200,3,3,3,0.15102778186144877,0.20568074326359925,0.09727251179413945,0.07065140757040503,1.5526254958962415,6,9,0.6666666666666666,0.3333333333333333,0.04242239496011786
T5_SQuAD,T5_SQuAD.pkl,omega1_updates_norm,500,3,3,3,0.07010177853137524,0.06753124668242644,0.37777569718503057,0.24436733769244345,0.18556455339433897,7,9,0.7777777777777778,0.3333333333333333,0.00828125793832241
T5_SQuAD,T5_SQuAD.pkl,omega2_updates_norm,500,3,3,3,0.06041550763429574,0.08226958207270849,0.03924722051600678,0.02804685020626681,1.539357611570368,6,9,0.6666666666666666,0.3333333333333333,0.04242239496011786
T5_SQuAD,T5_SQuAD_10.pkl,omega1_updates_norm,1,3,3,3,7.651704075766627,10.012566672578789,7.337175496573331,5.297810611552102,1.04286780101419,6,9,0.6666666666666666,0.3333333333333333,0.04242239496011786
T5_SQuAD,T5_SQuAD_10.pkl,omega2_updates_norm,1,3,3,3,10.695689424250785,14.341978724414222,8.365407807907495,10.191249444384015,1.2785616278193355,5,9,0.5555555555555556,0.3333333333333333,0.14484580602550426
T5_SQuAD,T5_SQuAD_10.pkl,omega1_updates_norm,10,3,3,3,1.3605015271878895,1.581203525384052,3.213882438670561,2.0303457488276306,0.42332025304281756,6,9,0.6666666666666666,0.3333333333333333,0.04242239496011786
T5_SQuAD,T5_SQuAD_10.pkl,omega2_updates_norm,10,3,3,3,1.5071030492497022,1.9970471268220722,1.2139569761244682,1.1103010276468754,1.2414797879090382,6,9,0.6666666666666666,0.3333333333333333,0.04242239496011786
T5_SQuAD,T5_SQuAD_10.pkl,omega1_updates_norm,100,3,3,3,0.24539844452871065,0.18179699032076416,1.06641537689979,0.6792837335536352,0.23011525325348953,9,9,1.0,0.3333333333333333,5.0805263425290837e-05
T5_SQuAD,T5_SQuAD_10.pkl,omega2_updates_norm,100,3,3,3,0.15215225343418853,0.20082594266378098,0.14276889368195303,0.10843159248557445,1.065724118960667,6,9,0.6666666666666666,0.3333333333333333,0.04242239496011786
T5_SQuAD,T5_SQuAD_10.pkl,omega1_updates_norm,200,3,3,3,0.1623427643856558,0.09074677542894295,0.6848437131195126,0.4359070632490183,0.2370508209036085,9,9,1.0,0.3333333333333333,5.0805263425290837e-05
T5_SQuAD,T5_SQuAD_10.pkl,omega2_updates_norm,200,3,3,3,0.07612308949644425,0.10036764083371265,0.07241858783904681,0.05364367100133007,1.0511540167785491,6,9,0.6666666666666666,0.3333333333333333,0.04242239496011786
T5_SQuAD,T5_SQuAD_10.pkl,omega1_updates_norm,500,3,3,3,0.1065763385093873,0.03540412762044417,0.37130756253118014,0.22720254592098169,0.2870298083423434,9,9,1.0,0.3333333333333333,5.0805263425290837e-05
T5_SQuAD,T5_SQuAD_10.pkl,omega2_updates_norm,500,3,3,3,0.0304652655838645,0.04012948723824895,0.029209345366828912,0.02128397727283372,1.0429972052185001,6,9,0.6666666666666666,0.3333333333333333,0.04242239496011786
ViT-B_16_CIFAR-100,ViT-B_16_CIFAR-100.pkl,omega1_updates_norm,1,3,3,3,7.868244236780847,9.010119826953497,142.90463067761786,280.1158681787259,0.05505940709878756,4,4,1.0,0.3333333333333333,0.012345679012345677
ViT-B_16_CIFAR-100,ViT-B_16_CIFAR-100.pkl,omega2_updates_norm,1,3,3,3,10.618392487820977,13.231930733561803,74.79456314541522,140.89336459697066,0.14196743775582657,4,4,1.0,0.3333333333333333,0.012345679012345677
ViT-B_16_CIFAR-100,ViT-B_16_CIFAR-100.pkl,omega1_updates_norm,10,3,3,3,2.317956410733436,1.9127161614643353,118.62667358418133,253.21205547353551,0.019539925892708598,4,4,1.0,0.3333333333333333,0.012345679012345677
ViT-B_16_CIFAR-100,ViT-B_16_CIFAR-100.pkl,omega2_updates_norm,10,3,3,3,1.473286953986821,1.7886049029831708,11.30322708943109,22.73908857350716,0.13034215293828746,4,4,1.0,0.3333333333333333,0.012345679012345677
ViT-B_16_CIFAR-100,ViT-B_16_CIFAR-100.pkl,omega1_updates_norm,100,3,3,3,0.830302103911269,0.17480753189607776,94.85754390818693,199.13426661169157,0.00875314782253821,4,4,1.0,0.3333333333333333,0.012345679012345677
ViT-B_16_CIFAR-100,ViT-B_16_CIFAR-100.pkl,omega2_updates_norm,100,3,3,3,0.15373130551621525,0.18072713632607984,1.69020063571249,4.022468012602451,0.09095447147989688,4,4,1.0,0.3333333333333333,0.012345679012345677
ViT-B_16_CIFAR-100,ViT-B_16_CIFAR-100.pkl,omega1_updates_norm,200,3,3,3,0.7222450311023187,0.06001430059887368,81.86113194701119,168.13662886788364,0.008822807771212214,4,4,1.0,0.3333333333333333,0.012345679012345677
ViT-B_16_CIFAR-100,ViT-B_16_CIFAR-100.pkl,omega2_updates_norm,200,3,3,3,0.0772355638111939,0.09007777847098514,0.9673420894733906,2.31802945846395,0.07984307170304149,4,4,1.0,0.3333333333333333,0.012345679012345677
ViT-B_16_CIFAR-100,ViT-B_16_CIFAR-100.pkl,omega1_updates_norm,500,3,3,3,0.6546204802427092,0.012488639445485738,66.22768531386299,137.10131709388833,0.009884393167908014,4,4,1.0,0.3333333333333333,0.012345679012345677
ViT-B_16_CIFAR-100,ViT-B_16_CIFAR-100.pkl,omega2_updates_norm,500,3,3,3,0.03104791291434795,0.03592464840856023,0.45136679343618435,1.0278241136289914,0.06878643570118456,4,4,1.0,0.3333333333333333,0.012345679012345677
